Competition,Country,OW_Event,OW_Date,Athlete,NAT,Birth,OW_Rank,OW_Time,PoolEvent,WA_SB_Time,WA_SB_Date,WA_SB_Meet,WA_SB_Country,WA_PB_Time,WA_PB_Date,WA_PB_Meet,WA_PB_Country
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"GUERRA, Silvia",ESP,,9,2:01:53.40,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"GUERRA, Silvia",ESP,,9,2:01:53.40,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"GUERRA, Silvia",ESP,,9,2:01:53.40,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"ZHDANOVA, Ekaterina",RUS,,10,2:01:58.00,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"ZHDANOVA, Ekaterina",RUS,,10,2:01:58.00,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Women 10km,2003-07-27,"ZHDANOVA, Ekaterina",RUS,,10,2:01:58.00,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"MECA MEDINA, David",ESP,,3,1:51:08.40,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"MECA MEDINA, David",ESP,,3,1:51:08.40,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"MECA MEDINA, David",ESP,,3,1:51:08.40,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"BEZRUCHENKO, Yevgeny",RUS,,4,1:51:08.50,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"BEZRUCHENKO, Yevgeny",RUS,,4,1:51:08.50,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"BEZRUCHENKO, Yevgeny",RUS,,4,1:51:08.50,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"SALIBA, Mark",AUS,,6,1:51:12.80,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"SALIBA, Mark",AUS,,6,1:51:12.80,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"SALIBA, Mark",AUS,,6,1:51:12.80,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"STOYCHEV, Petar",BUL,,5,1:51:12.50,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"STOYCHEV, Petar",BUL,,5,1:51:12.50,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"STOYCHEV, Petar",BUL,,5,1:51:12.50,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"HEIN, Christian",GER,,2,1:51:06.50,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"HEIN, Christian",GER,,2,1:51:06.50,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"HEIN, Christian",GER,,2,1:51:06.50,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"RONDY, Gilles",FRA,,7,1:51:13.00,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"RONDY, Gilles",FRA,,7,1:51:13.00,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"RONDY, Gilles",FRA,,7,1:51:13.00,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"BLAUM, Damian",ARG,,8,1:51:13.80,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"BLAUM, Damian",ARG,,8,1:51:13.80,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"BLAUM, Damian",ARG,,8,1:51:13.80,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"DYATCHIN, Vladimir",RUS,,1,1:50:58.80,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"DYATCHIN, Vladimir",RUS,,1,1:50:58.80,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"DYATCHIN, Vladimir",RUS,,1,1:50:58.80,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"PAMPANA, Samuele",ITA,,10,1:51:14.40,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"PAMPANA, Samuele",ITA,,10,1:51:14.40,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"PAMPANA, Samuele",ITA,,10,1:51:14.40,1500 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"POISSIER, Emmanuel",FRA,,9,1:51:14.00,400 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"POISSIER, Emmanuel",FRA,,9,1:51:14.00,800 Free,,,,,,,,
10th FINA World Championships 2003,ESP,Men 10km,2003-07-27,"POISSIER, Emmanuel",FRA,,9,1:51:14.00,1500 Free,,,,,,,,
